COMPONENTID,CONTRIBUTORID,CONTRIBUTION,RANK
6,50830,0.0006552006552006552,118
6,67320,0.0006552006552006552,119
6,21193,0.0006552006552006552,120
6,9674,0.0006552006552006552,121
6,40029,0.0006552006552006552,122
6,3949,0.0006552006552006552,123
6,50205,0.0004914004914004914,124
6,59075,0.0004914004914004914,125
6,10363,0.0004914004914004914,126
6,34753,0.0004914004914004914,127
6,58344,0.0004914004914004914,128
6,42701,0.0004914004914004914,129
6,60302,0.0004914004914004914,130
6,54002,0.0004914004914004914,131
6,20715,0.0004914004914004914,132
6,225,0.0004914004914004914,133
6,17164,0.0004914004914004914,134
6,34810,0.0004914004914004914,135
6,15642,0.0004914004914004914,136
6,26917,0.0004914004914004914,137
6,84649,0.0004914004914004914,138
6,26944,0.0004914004914004914,139
6,16403,0.0004914004914004914,140
6,30063,0.0004914004914004914,141
6,1602,0.0004914004914004914,142
6,14141,0.0004914004914004914,143
6,26777,0.0004914004914004914,144
6,12681,0.0004914004914004914,145
6,10641,0.0004914004914004914,146
6,9248,0.0004914004914004914,147
6,16959,0.0004914004914004914,148
6,3388,0.0004914004914004914,149
6,71409,0.0004914004914004914,150
6,91356,0.0004914004914004914,151
6,50258,0.0004914004914004914,152
6,34187,0.0004914004914004914,153
6,8628,0.0004914004914004914,154
6,81419,0.0004914004914004914,155
6,39939,0.0003276003276003276,156
6,24302,0.0003276003276003276,157
6,17477,0.0003276003276003276,158
6,12628,0.0003276003276003276,159
6,34910,0.0003276003276003276,160
6,3664,0.0003276003276003276,161
6,5336,0.0003276003276003276,162
6,2395,0.0003276003276003276,163
6,40232,0.0003276003276003276,164
6,10153,0.0003276003276003276,165
6,61892,0.0003276003276003276,166
6,8639,0.0003276003276003276,167
6,159,0.0003276003276003276,168
6,78909,0.0003276003276003276,169
6,9188,0.0003276003276003276,170
6,71235,0.0003276003276003276,171
6,17645,0.0003276003276003276,172
6,28961,0.0003276003276003276,173
6,5275,0.0003276003276003276,174
6,23111,0.0003276003276003276,175
6,11210,0.0003276003276003276,176
6,197,0.0003276003276003276,177
6,1416,0.0003276003276003276,178
6,2163,0.0003276003276003276,179
6,34086,0.0003276003276003276,180
6,13652,0.0003276003276003276,181
6,66934,0.0003276003276003276,182
6,20513,0.0003276003276003276,183
6,47936,0.0003276003276003276,184
6,46469,0.0003276003276003276,185
6,14940,0.0003276003276003276,186
6,5319,0.0003276003276003276,187
6,4726,0.0003276003276003276,188
6,63668,0.0003276003276003276,189
6,24766,0.0003276003276003276,190
6,3750,0.0003276003276003276,191
6,55599,0.0003276003276003276,192
6,749,0.0003276003276003276,193
6,16677,0.0003276003276003276,194
6,13635,0.0003276003276003276,195
6,7713,0.0003276003276003276,196
6,18356,0.0003276003276003276,197
6,5043,0.0003276003276003276,198
6,38166,0.0003276003276003276,199
6,45569,0.0003276003276003276,200
6,23516,0.0003276003276003276,201
6,26571,0.0003276003276003276,202
6,82759,0.0003276003276003276,203
6,41355,0.0003276003276003276,204
6,25684,0.0003276003276003276,205
6,12695,0.0003276003276003276,206
6,12402,0.0003276003276003276,207
6,9586,0.0003276003276003276,208
6,7953,0.0001638001638001638,209
6,8768,0.0001638001638001638,210
6,23888,0.0001638001638001638,211
6,64817,0.0001638001638001638,212
6,46253,0.0001638001638001638,213
6,17060,0.0001638001638001638,214
6,4587,0.0001638001638001638,215
6,14252,0.0001638001638001638,216
6,54599,0.0001638001638001638,217
6,994,0.0001638001638001638,218
6,1595,0.0001638001638001638,219
6,22632,0.0001638001638001638,220
6,708,0.0001638001638001638,221
6,2295,0.0001638001638001638,222
6,35642,0.0001638001638001638,223
6,8799,0.0001638001638001638,224
6,13253,0.0001638001638001638,225
6,25635,0.0001638001638001638,226
6,13806,0.0001638001638001638,227
6,13485,0.0001638001638001638,228
6,34493,0.0001638001638001638,229
6,11544,0.0001638001638001638,230
6,19788,0.0001638001638001638,231
6,12648,0.0001638001638001638,232
6,12807,0.0001638001638001638,233
6,16683,0.0001638001638001638,234
6,1678,0.0001638001638001638,235
6,58297,0.0001638001638001638,236
6,10651,0.0001638001638001638,237
